1	1	-32.57739541261033
2	1	-7.578832816647488
2	2	-9.20094327192934
3	1	0.0
3	2	0.0
3	3	-7.458819309224371
4	1	-0.014473835903318
4	2	-0.176890246723779
4	3	0.0
4	4	-7.415311754245677
5	1	0.0
5	2	0.0
5	3	0.0
5	4	0.0
5	5	-7.347144867731366
6	1	-1.240102256333302
6	2	-2.906709830220527
6	3	-1.6751501447186712
6	4	-1.3568682579595641
6	5	0.0
6	6	-4.540171070273183
7	1	-1.240102256333303
7	2	-2.906709830220527
7	3	1.675150144718672
7	4	-1.3568682579595641
7	5	1e-15
7	6	-1.071145883317951
7	7	-4.540171070273184
